Log	se	mTypePre	mType	Model	loo_lower	loo_upper
-128.444224523663	43.5038924389167	logH	logH	Human-only	-171.94811696258	-84.9403320847464
-269.092315381419	41.6146508803931	expH	expH	Human-only	-310.706966261812	-227.477664501026
-269.676451703431	42.6972102990483	linH	linH	Human-only	-312.37366200248	-226.979241404383
-269.689070992305	33.308556103309	comb1_linH	linT+linP+L+linH	Combined	-302.997627095614	-236.380514888996
-276.57476214749	38.6158178454139	comb0_expH	quadT+L+expH	Combined	-315.190579992904	-237.958944302076
-278.450210524858	33.9447667774494	comb1_expH	linT+linP+L+expH	Combined	-312.394977302308	-244.505443747409
-282.096231081644	38.9012387260544	comb3_linH	quadT+linH	Combined	-320.997469807699	-243.19499235559
-288.810902316861	38.0070202681399	comb0_linH	quadT+L+linH	Combined	-326.817922585	-250.803882048721
-289.837257061916	38.9794540141252	comb3_expH	quadT+expH	Combined	-328.816711076041	-250.85780304779
-384.470957705056	39.3008575737461	comb0_pH	quadT+L+pH	Combined	-423.771815278802	-345.17010013131
-393.327896159629	39.8778623350911	comb2_linH	linT+L+linH	Combined	-433.20575849472	-353.450033824538
-394.231298558431	39.7960083000358	comb2_expH	linT+L+expH	Combined	-434.027306858467	-354.435290258395
-423.231104871339	43.9351576497142	pH	pH	Human-only	-467.166262521053	-379.295947221625
-430.258402499755	37.0534326651392	comb0_logH	quadT+L+logH	Combined	-467.311835164894	-393.204969834615
-432.996451958396	31.460157446178	comb1_pH	linT+linP+L+pH	Combined	-464.456609404574	-401.536294512218
-482.583555889042	41.5996083530933	comb3_pH	quadT+pH	Combined	-524.183164242135	-440.983947535949
-498.891153912072	40.8664479962461	comb2_pH	linT+L+pH	Combined	-539.757601908318	-458.024705915826
-509.833886550008	30.4981705187284	comb1_logH	linT+linP+L+logH	Combined	-540.332057068736	-479.335716031279
-527.016655387881	39.1059023051387	comb2_logH	linT+L+logH	Combined	-566.122557693019	-487.910753082742
-551.643169266294	39.1649257301385	comb3_logH	quadT+logH	Combined	-590.808094996433	-512.478243536156
-640.171413692385	42.512713204555	qT+L	quadT+L	Climate-only	-682.68412689694	-597.65870048783
-676.223324057097	33.491895545508	lTP+L	linT+linP+L	Climate-only	-709.715219602605	-642.731428511589
-722.98689107329	40.0611290830795	lT+L	linT+L	Climate-only	-763.04802015637	-682.925761990211
-747.324506549535	43.4044601142374	qT	quadT	Climate-only	-790.728966663772	-703.920046435298
-790.862818844447	39.2555865254845	lP	linP	Climate-only	-830.118405369932	-751.607232318963
-836.186804910762	42.4553906259804	lT	linT	Climate-only	-878.642195536742	-793.731414284782
-841.650718581129	40.4716760089547	qTP+L	quadT+quadP+L	Climate-only	-882.122394590084	-801.179042572175
-854.600726618454	41.5171916932956	qP	quadP	Climate-only	-896.11791831175	-813.083534925159
-886.799043810633	41.6421530616495	lTP	linT+linP	Climate-only	-928.441196872283	-845.156890748984
-894.708008839763	43.8338554324332	qTP	quadT+quadP	Climate-only	-938.541864272196	-850.874153407329
-896.788957950707	36.7453737344987	lP+L	linP+L	Climate-only	-933.534331685206	-860.043584216209
-982.575911958103	38.697292263689	qP+L	quadP+L	Climate-only	-1021.27320422179	-943.878619694413
