MSE	Model	times
0.139927485506728	Climate-only	0-742 kya
0.136677874572874	Climate-only	0-742 kya
0.114691811772619	Climate-only	0-742 kya
0.113169561607689	Climate-only	0-742 kya
0.110049271485158	Climate-only	0-742 kya
0.107968468721513	Climate-only	0-742 kya
0.099317518842611	Climate-only	0-742 kya
0.108327272623697	Climate-only	0-742 kya
0.115335272828607	Climate-only	0-742 kya
0.124574123519011	Climate-only	0-742 kya
0.165249845830747	Climate-only	0-742 kya
0.201314273015413	Climate-only	0-742 kya
0.138118056044041	Climate-only	0-742 kya
0.127436618260235	Climate-only	0-742 kya
0.114504928064104	Climate-only	0-742 kya
0.166284515219796	Climate-only	0-742 kya
0.171789595345451	Climate-only	0-742 kya
0.11067815995863	Climate-only	0-742 kya
0.105521665198164	Climate-only	0-742 kya
0.100076946404222	Climate-only	0-742 kya
0.161671138590823	Climate-only	0-742 kya
0.14632118206639	Climate-only	0-742 kya
0.132732369813614	Climate-only	0-742 kya
0.154082549103574	Climate-only	0-742 kya
0.177688982913804	Climate-only	0-742 kya
0.133090775675395	Climate-only	0-742 kya
0.129357111418827	Climate-only	0-742 kya
0.236081918060947	Climate-only	0-742 kya
0.193395335925417	Climate-only	0-742 kya
0.317540682137703	Climate-only	0-742 kya
0.151605775739097	Climate-only	0-742 kya
0.191040494139221	Climate-only	0-742 kya
0.161088014065256	Climate-only	0-742 kya
0.268157914386115	Climate-only	0-742 kya
0.14479315180842	Climate-only	0-742 kya
0.161257113517654	Climate-only	0-742 kya
0.230206605631471	Climate-only	0-742 kya
0.110137906861188	Climate-only	0-742 kya
0.149098933284873	Climate-only	0-742 kya
0.327156357168097	Climate-only	0-742 kya
0.119276911292889	Climate-only	0-742 kya
0.114567551189635	Climate-only	0-742 kya
0.16367855072894	Climate-only	0-742 kya
0.278904072341453	Climate-only	0-742 kya
0.113986913159853	Climate-only	0-742 kya
0.150448300923685	Climate-only	0-742 kya
0.134616978543314	Climate-only	0-742 kya
0.101228534650415	Climate-only	0-742 kya
0.134761185361907	Climate-only	0-742 kya
0.171661461848143	Climate-only	0-742 kya
0.142067439280211	Climate-only	0-742 kya
0.106976471684369	Climate-only	0-742 kya
0.0965011923217084	Climate-only	0-742 kya
0.117537243483254	Climate-only	0-742 kya
0.136606549290226	Climate-only	0-742 kya
0.136858530221083	Climate-only	0-742 kya
0.132716577731883	Climate-only	0-742 kya
0.126478519077674	Climate-only	0-742 kya
0.166584421099703	Climate-only	0-742 kya
0.135099508344521	Climate-only	0-742 kya
0.108059377571647	Climate-only	0-742 kya
0.101333924451197	Climate-only	0-742 kya
0.111363846516323	Climate-only	0-742 kya
0.129974132087447	Climate-only	0-742 kya
0.146275708303055	Climate-only	0-742 kya
0.108667319147462	Climate-only	0-742 kya
0.164911717127654	Climate-only	0-742 kya
0.199974532582448	Climate-only	0-742 kya
0.20444048157578	Climate-only	0-742 kya
0.116441245069827	Climate-only	0-742 kya
0.106780749719623	Climate-only	0-742 kya
0.158110968725191	Climate-only	0-742 kya
0.124559774197236	Climate-only	0-742 kya
0.117274298679864	Climate-only	0-742 kya
0.169154091425493	Climate-only	0-742 kya
0.105652722342037	Climate-only	0-742 kya
0.20391482924547	Climate-only	0-742 kya
0.155267741552972	Climate-only	0-742 kya
0.109216893944259	Climate-only	0-742 kya
0.133182818663496	Climate-only	0-742 kya
0.107173577126726	Climate-only	0-742 kya
0.0963650660715958	Climate-only	0-742 kya
0.110957647236521	Climate-only	0-742 kya
0.100531907743709	Climate-only	0-742 kya
0.10018515447605	Climate-only	0-742 kya
0.102711212089008	Climate-only	0-742 kya
0.114346902809915	Climate-only	0-742 kya
0.142831705037946	Climate-only	0-742 kya
0.188975755239077	Climate-only	0-742 kya
0.176649059375745	Climate-only	0-742 kya
0.111059960688287	Climate-only	0-742 kya
0.102347240335311	Climate-only	0-742 kya
0.109078466190476	Climate-only	0-742 kya
0.112544564561703	Climate-only	0-742 kya
0.134836014211799	Climate-only	0-742 kya
0.156046454857647	Climate-only	0-742 kya
0.107453770411745	Climate-only	0-742 kya
0.1787750179803	Climate-only	0-742 kya
0.16756614553838	Climate-only	0-742 kya
0.198869317725127	Climate-only	0-742 kya
0.115775613412163	Climate-only	0-742 kya
0.170992292044232	Climate-only	0-742 kya
0.202435122695232	Climate-only	0-742 kya
0.110122954852036	Climate-only	0-742 kya
0.108015318826893	Climate-only	0-742 kya
0.152028786492693	Climate-only	0-742 kya
0.959909213523341	Climate-only	0-742 kya
0.113859161041368	Climate-only	0-742 kya
0.106347985987106	Climate-only	0-742 kya
0.231854669113886	Climate-only	0-742 kya
1.03999112688187	Climate-only	0-742 kya
0.127059646603667	Climate-only	0-742 kya
0.108886209151523	Climate-only	0-742 kya
0.106125089789944	Climate-only	0-742 kya
0.181040771420939	Climate-only	0-742 kya
0.247743782195482	Climate-only	0-742 kya
0.224343676697173	Climate-only	0-742 kya
0.112405131118306	Climate-only	0-742 kya
0.127310913084589	Climate-only	0-742 kya
0.137477968252043	Climate-only	0-742 kya
0.173010755325316	Climate-only	0-742 kya
0.105128729632341	Climate-only	0-742 kya
0.103220395516356	Climate-only	0-742 kya
0.106529091150448	Climate-only	0-742 kya
0.10890354356499	Climate-only	0-742 kya
0.175584916228737	Climate-only	0-742 kya
0.180915079061359	Climate-only	0-742 kya
0.106873622728871	Climate-only	0-742 kya
0.106214771804341	Climate-only	0-742 kya
0.11211567879723	Climate-only	0-742 kya
0.150585400178024	Climate-only	0-742 kya
0.134768743044523	Climate-only	0-742 kya
0.130605868301113	Climate-only	0-742 kya
0.162975590608605	Climate-only	0-742 kya
0.21141544023451	Climate-only	0-742 kya
0.130343205952909	Climate-only	0-742 kya
0.101395126426798	Climate-only	0-742 kya
0.151338210567458	Climate-only	0-742 kya
0.234380189158321	Climate-only	0-742 kya
