Species	midT	logNe	medPred	meanPred	hpdi025	hpdi975	hpdi25	hpdi75	seMean	seMedian	se025	se975	Model
Acinonyx_jubatus_dnaZoo	12500	3.93860975515957	4.09456075119229	4.1000649621843	3.58370182558434	4.62591302837961	3.94519514658444	4.28670135188238	0.0970440971375342	0.0462249498084433	2.06834468905612e-07	0.365587909465144	Human-only
Addax_nasomaculatus	12500	3.88894987065107	4.32798209101287	4.30490042866762	3.76828870969589	4.95903917258552	4.14310658769709	4.54123644180745	0.269575956534068	0.195864035672869	4.12424358865041e-06	0.790875132599081	Human-only
Aepyceros_melampus	12500	3.96020669555757	3.90929126448638	3.92238422762579	3.43441914488483	4.48609399556864	3.71729555546509	4.06254408006231	0.0717246184563311	0.032669966558134	2.57829454463035e-07	0.276557452312936	Human-only
Ailuropoda_melanoleuca	12500	3.43362417262879	3.62008489238001	3.61673560364471	2.96813882933977	4.31325294724512	3.38824783919328	3.84676614909237	0.149188908609423	0.0665754534762366	5.06843509674679e-08	0.57478505143566	Human-only
Alces_alces_gigas	12500	3.42541114458853	3.59580859829466	3.57676106592162	3.0214252009487	4.17780663990124	3.40198648916703	3.8120065448677	0.113437661960426	0.0574534093003895	1.32192033222911e-06	0.420610883470427	Human-only
Alces_alces_shirasi	12500	3.28154366787058	3.41497744245863	3.41435485712805	2.80153884270187	4.04827287636147	3.19176741107522	3.59007056969183	0.11907204795195	0.0560368281139076	1.52577305882992e-07	0.460545633219845	Human-only
Alces_americanus	12500	3.2965901566769	3.41123801359488	3.40342767264144	2.84259426513073	3.98885297514567	3.21499718665216	3.61193142206971	0.102544618929339	0.0459854365744707	8.68812367750746e-08	0.40382624836454	Human-only
Ammotragus_lervia	12500	3.56069218360811	3.67847215382094	3.69361509178997	3.09227849378131	4.30374886665895	3.49496974682619	3.90314843227475	0.117533499077251	0.0487075900393658	2.49414551371968e-08	0.446629519330122	Human-only
Antidorcas_marsupialis	12500	5.6385071916597	5.49899956097967	5.5134664314003	5.0522473354002	5.99304538033657	5.3642299797046	5.66735283821219	0.0717334692086803	0.0331365331765012	1.14418179071224e-08	0.266885222306157	Human-only
Antilocapra_americana	12500	3.42885336912237	3.42824065695969	3.42245428949494	2.87050085650281	4.06994657872651	3.20478306019144	3.61917285144841	0.0956878125762568	0.043370679082694	1.99682730171639e-08	0.372896791211094	Human-only
Axis_porcinus	12500	3.59037590437472	3.64126306035651	3.65538878292802	3.09305779229039	4.30217131092483	3.383059389871	3.78219048366882	0.0964544001483428	0.0412393495561853	9.14877175590315e-09	0.387356068878709	Human-only
Babyrousa_celebensis_dnaZoo	12500	3.56877833025826	3.63260570713512	3.63554782287584	3.03020073268177	4.23231362192882	3.36806360020639	3.77187000760197	0.0988681490872941	0.0410528036712311	1.87737178097636e-08	0.37840676564733	Human-only
Beatragus_hunteri	12500	3.21302185845944	3.44290266246391	3.44176898364346	2.89215882897696	3.99565790844889	3.23480714392334	3.60002279844358	0.133304735308768	0.0669868526701999	8.16940588469775e-10	0.509572241741523	Human-only
Bison_bison_dnaZoo	12500	3.74911635049564	3.76452986475037	3.7587271764567	3.04559116634916	4.29915754815289	3.52616587956934	3.94332928587795	0.0973161016750394	0.0457464930185606	5.32834718272819e-07	0.408772114518892	Human-only
Bison_bonasus	12500	3.34850216760458	3.44623854549064	3.44230956932914	2.84431310332287	4.0181021807534	3.23052120598005	3.64337552617294	0.102745595775133	0.0498998653432591	2.40730679703655e-07	0.375543874632302	Human-only
Bos_gaurus	12500	3.64472206718026	3.51931392409354	3.51624040791708	2.96208897453503	4.08879140137477	3.32682150259041	3.74141318990946	0.10376161200215	0.0497781932498095	1.00841563406747e-07	0.37748632392255	Human-only
Bos_grunniens	12500	3.70900186470775	3.87173844154166	3.86983576459214	3.26347551228356	4.4527773957585	3.68400713748054	4.087318525097	0.120696018812062	0.058471253550669	1.08519824943818e-08	0.437230810981401	Human-only
Bos_indicus	12500	3.65825348113345	3.65891529528882	3.65941534031149	3.10675410910085	4.18398199581686	3.41938569691876	3.80893960014415	0.0836303546127834	0.0397239265633789	2.91940141815568e-07	0.301142205705085	Human-only
Bos_javanicus	12500	3.7169421338705	3.80694702764943	3.79979392573441	3.24309439447987	4.37998598065271	3.64071012077278	4.04281540203075	0.0969945661183289	0.0441519568341594	1.50247398644613e-09	0.358974382098017	Human-only
Bos_mutus	12500	3.95747093410651	4.16000643353009	4.15609072754332	3.5948669030219	4.85274509620449	3.97888602252777	4.41330408798885	0.141950469509216	0.0625008547354249	6.61301069119343e-08	0.55309691068764	Human-only
Bos_taurus	12500	3.56267374579136	3.81651848514551	3.81103244091804	3.18502342327513	4.41734586038672	3.645518115655	4.05218937743747	0.162806285700672	0.0855166883722532	2.27315286751261e-07	0.606603974550986	Human-only
Bubalus_bubalis	12500	3.63308379983415	3.58146677673472	3.57937779809904	3.00090344023739	4.15005530607691	3.34971492027297	3.71180231902733	0.086195568309399	0.0389114214299508	1.29583402463566e-08	0.34625841381764	Human-only
Budorcas_taxicolor	12500	3.2940803156062	3.4749790354613	3.47592471133235	2.88434134176589	4.120761089253	3.1786060762415	3.59984159841505	0.137072375895019	0.0605545227431714	1.94024300558404e-07	0.539452330366512	Human-only
Camelus_bactrianus	12500	3.62852836730839	3.77752793416801	3.77979579039496	3.13912582672425	4.3210367225122	3.61756663849691	4.03833806951228	0.118512882739001	0.0552756000561018	3.12001351556409e-08	0.443972415908091	Human-only
Camelus_dromedarius	12500	3.67658311584024	3.88814342614747	3.89387181938359	3.37175461847675	4.54368387905639	3.69810268649964	4.07302945711784	0.134357413642787	0.0624589387864015	3.45425410026102e-09	0.52006207378616	Human-only
Camelus_ferus	12500	3.59096096114013	3.81071442578283	3.8077490327028	3.16759149838793	4.38743043750125	3.61036291261395	4.06428723573415	0.154829724012389	0.0769816127085235	3.96417106839468e-06	0.551556861014965	Human-only
Capra_aegagrus	12500	4.15888025702552	4.29049879016877	4.27802624810938	3.64274478776759	4.85295812009529	4.03495337203802	4.43230870134452	0.107919484349253	0.0500581037948821	1.44186141897601e-08	0.414461545011364	Human-only
Capra_ibex	12500	4.01960165791913	4.0701851133492	4.06042180479289	3.54079920446619	4.69131138394506	3.78380474110185	4.19828073178252	0.0954854794034523	0.0436372457888443	1.0822051455921e-08	0.365946941116886	Human-only
Capra_sibirica	12500	4.00836982234259	4.02566792060809	4.03230482266744	3.52796704529802	4.68312084746241	3.86763333133724	4.25044072241221	0.0894963196077949	0.040221028961566	4.15178246878019e-12	0.362172520191944	Human-only
Catagonus_wagneri	12500	3.97941533374664	4.00753064325902	4.00775955790781	3.36745421331993	4.62791747002587	3.81679593740818	4.23558317536438	0.105117539647502	0.0483471436860198	1.35021329774559e-06	0.398436574426387	Human-only
Ceratotherium_simum_cottoni	12500	2.9287377264626	3.03475020273857	3.03623875490879	2.49772926904717	3.566284787393	2.85865528196344	3.21772058050304	0.0895014588424194	0.0368391804559088	7.34289580441484e-08	0.336957307782528	Human-only
Ceratotherium_simum_simum	12500	2.96589555458587	3.17507127636987	3.17676665431558	2.57361105541335	3.77438299905927	2.95108139690404	3.37090253446368	0.140607034918641	0.065636461720932	1.45414326990401e-12	0.513333292657102	Human-only
Cervus_canadensis	12500	3.6406407079343	3.60635307436453	3.60628066831994	3.0239205804905	4.19993332507694	3.398336645641	3.79170754691617	0.0912641272899342	0.0403572008523513	2.56252764285483e-10	0.367062183699864	Human-only
Cervus_elaphus_hippelaphus	12500	4.38468005543343	4.88338903731893	4.87336353613656	4.34650334436473	5.35530846330822	4.74827593256501	5.09527920511307	0.310045540556051	0.250437141663881	3.90590777362506e-06	0.836201760314548	Human-only
Cervus_hanglu_yarkandensis	12500	3.64820918211612	3.67527143573467	3.6889602547448	3.13180341129738	4.25908533202044	3.54700968251882	3.9347837179785	0.0882295504281903	0.0390197291870708	7.06026631188045e-08	0.327412805180287	Human-only
Cervus_nippon	12500	3.9512164465264	4.16982767785313	4.17838846055363	3.51113800225703	4.892637146144	3.93912835684175	4.40082761481316	0.17758400043858	0.0860238886162806	4.85229047117301e-07	0.63655382792832	Human-only
Connochaetes_taurinus	12500	4.72197202539868	4.58580995377334	4.58298940569719	4.00637201553423	5.07988543204552	4.39449822314422	4.75036817647985	0.0920018347012805	0.0451591055536454	6.95368856884178e-07	0.374311780222573	Human-only
Crocuta_crocuta_dnaZoo	12500	3.74717948423682	3.9603559763715	3.96613560082714	3.36999088391584	4.6556067120941	3.72381643207402	4.14437878292318	0.151087380757202	0.0716119052966454	1.46360830558642e-07	0.594866162866532	Human-only
Dicerorhinus_sumatrensis_sumatrensis	12500	3.02593345050471	2.9598409703249	2.95708062180331	2.32243655082587	3.45458265700628	2.78896621249407	3.16044507343901	0.0883687969486932	0.03781637041591	3.79493062764905e-09	0.34878553661443	Human-only
Diceros_bicornis	12500	3.49890692539567	3.54762836655141	3.54406202847316	2.98783192820501	4.03790715820588	3.36668360856166	3.7191319071575	0.0743322734528855	0.0351151432998115	1.32095944050646e-11	0.284501859150056	Human-only
Diceros_bicornis_minor	12500	3.0199585789035	3.26143410182411	3.25651876671856	2.73755745519003	3.85271030411564	3.05064170907209	3.42913272829066	0.137600763988034	0.0696812796812799	3.07723008664883e-09	0.494064271068967	Human-only
Elaphurus_davidianus	12500	3.18405512915657	3.28270296316224	3.28340459735534	2.61065017813436	3.86999148292049	3.01872418159114	3.44731303076152	0.114511524365006	0.0504924003110303	3.38983945024331e-09	0.439999755339381	Human-only
Elephas_maximus	12500	3.35359914479225	3.45270256379504	3.44668963956649	2.87736861742105	3.98900231287807	3.26296131365905	3.64781676357094	0.0895695252676808	0.0436934714859631	2.87525228011583e-07	0.328328277187378	Human-only
Equus_asinus	12500	3.63120155499169	3.82401980461102	3.83994247035429	3.21459376204566	4.46841106502492	3.59372323697729	4.01632702780651	0.149095957120924	0.0701310637743409	8.27831279959341e-07	0.554708140171591	Human-only
Equus_asinus_somalicus	12500	3.36179999855902	3.57955848935432	3.57916366006483	2.94613756173577	4.17979698276739	3.39127811378309	3.80556029181252	0.147949704788734	0.0723776312349337	1.08461855373727e-08	0.53701231427805	Human-only
Equus_caballus	12500	3.42991328165916	3.57066406329798	3.56088834387347	2.98324267232753	4.18436412106969	3.32007097990293	3.74309492224297	0.115395199478409	0.0588340176940754	1.12539225494533e-06	0.44862231746975	Human-only
Equus_grevyi	12500	3.57260259479634	4.31540305409732	4.29845328383602	3.78667431957165	4.84113383779122	4.14951736392159	4.50154331946688	0.598799784684212	0.551752556267411	7.19018237560855e-07	1.32853074332851	Human-only
Equus_hemionus	12500	3.63697111531742	3.73969568582032	3.74024015987583	3.12273141067949	4.38185915545567	3.53379669636032	3.96378742056324	0.11599541372369	0.0540823481600345	1.32657161452392e-07	0.44142124955707	Human-only
Equus_kiang	12500	3.95205824269025	3.88498720732653	3.88398780242525	3.38851958783923	4.49269350981259	3.6999517202771	4.07861688629156	0.0871987171708065	0.0414640335526209	6.76271601948392e-08	0.315315928581951	Human-only
Equus_quagga_dnaZoo	12500	3.7211497976627	4.04059187780492	4.0390671122447	3.38902768258481	4.68410978377083	3.7673154662094	4.1987411390641	0.217201737935188	0.113427090250942	1.02690784495446e-09	0.804935718347815	Human-only
Equus_zebra_dnaZoo	12500	3.77744090275281	4.30917545086118	4.30976052255251	3.79771302661134	4.77682176451368	4.14505680920278	4.47318210085024	0.345298404982399	0.282741630416789	7.28606976786161e-06	0.873287575959259	Human-only
Giraffa_camelopardalis_antiquorum	12500	4.11767022855328	4.50280561283195	4.49801875997449	4.06922664485423	4.99511602225267	4.31228048890722	4.63355967421632	0.202029310536982	0.14864194963085	1.22325457482506e-05	0.602659958169745	Human-only
Giraffa_camelopardalis_rothschildi	12500	3.81120818388977	4.22031894269817	4.2238370132829	3.61101620557812	4.81813405194199	3.98289689344437	4.43090022904446	0.276081515879159	0.172146678846611	1.16321592229326e-05	0.879055632029407	Human-only
Giraffa_tippelskirchi	12500	3.7204038471477	3.92868802295086	3.92575699386542	3.36950768525648	4.52001890436965	3.7609172793219	4.13915981183574	0.128282108434119	0.0640365276772887	2.1227628350122e-07	0.487252625678466	Human-only
Gorilla_beringei_beringei	12500	3.0383071473021	3.20542283922124	3.1905458710174	2.64839801626369	3.67307494571085	3.00442778536866	3.3750957034183	0.0967806869731894	0.0523054288056567	4.02431292168845e-08	0.344571462386068	Human-only
