period	pType	med	med_norm
Baseline	Census size	692849857.991814	1
Baseline	Biomass	59068195577419.4	1
Baseline	Energy turnover	2762155802204.61	1
75-100 kya	Census size	753802246.951644	1.087973445122
75-100 kya	Biomass	61676710779715.8	1.0441610781707
75-100 kya	Energy turnover	4087511810136.32	1.47982666541615
50-75 kya	Census size	478405050.438419	0.690488776060442
50-75 kya	Biomass	44066535977308.8	0.746028138265232
50-75 kya	Energy turnover	3211183406990.34	1.16256418426047
25-50 kya	Census size	443415777.175394	0.63998826305689
25-50 kya	Biomass	33625135097882.2	0.569259561244097
25-50 kya	Energy turnover	2040780067451.05	0.738835972186004
0-25 kya	Census size	39346401.3576993	0.056789217611652
0-25 kya	Biomass	8058289741907.07	0.136423495980087
0-25 kya	Energy turnover	480852748159.91	0.174086033733549
Current	Census size	28288929.0331674	0.0408298114041061
Current	Biomass	6485679763067.73	0.109799862678505
Current	Energy turnover	382948091877.116	0.138641017849705
