period	pType	med	med2	period2	period3	med_norm	med2_norm
Baseline (included)	Census size	692849857.991814	692849857.991814	Baseline	Extant (included)	0.611976986735915	0.831122993335417
Baseline (included)	Biomass	59068195577419.4	59068195577419.4	Baseline	Extant (included)	0.306597549897668	0.567675478644929
Baseline (included)	Energy turnover	2762155802204.61	2762155802204.61	Baseline	Extant (included)	0.311623513032889	0.577778096853705
Baseline (missing)	Census size	190391955.593176	62093194.769421	Baseline	Extant (missing)	0.168168462385752	0.0744852312622253
Baseline (missing)	Biomass	13538597451193.2	4557052661638.76	Baseline	Extant (missing)	0.0702730253905619	0.0437955997405626
Baseline (missing)	Energy turnover	1297953153278.63	425458253141.873	Baseline	Extant (missing)	0.146433709877616	0.0889958703976118
Baseline (extinct)	Census size	248908370.178045	78687906.2515912	Baseline	Extinct	0.219854550878334	0.0943917754023583
Baseline (extinct)	Biomass	120050309407902	40427503376034.1	Baseline	Extinct	0.62312942471177	0.388528921614508
Baseline (extinct)	Energy turnover	4803650313905.04	1593037577600.41	Baseline	Extinct	0.541942777089495	0.333226032748683
Current (included)	Census size	28288929.0331674	28288929.0331674	Current	Extant (included)	0.0249869049520805	0.0339345950715012
Current (included)	Biomass	6485679763067.73	6485679763067.73	Current	Extant (included)	0.0336643688763301	0.0623306896011679
Current (included)	Energy turnover	382948091877.116	382948091877.116	Current	Extant (included)	0.0432038010327806	0.0801037434390631
Current (missing)	Census size	51600242.5628275	4978770.1459541	Current	Extant (missing)	0.0455772063661368	0.00597239113078272
Current (missing)	Biomass	3160881936338.56	310828515768.432	Current	Extant (missing)	0.016406776061527	0.00298722052943142
Current (missing)	Energy turnover	319838646256.921	30927986893.4306	Current	Extant (missing)	0.0360838597412623	0.00646940820374438
