Species	med	q025	q975	mass	medPred	q025Pred	q975Pred
Acinonyx_jubatus_dnaZoo	-0.240393436909224	-0.355812631850167	-0.122825809360325	4.66931688056611	-0.226812875569213	-0.260415132148978	-0.194167070331016
Addax_nasomaculatus	-0.227370404622815	-0.338135050724356	-0.113781404681619	4.84509990127233	-0.24471380807137	-0.273347731039423	-0.216317037729457
Aepyceros_melampus	-0.310603558056882	-0.427838791625691	-0.199329499481604	4.72016013063275	-0.231978154440697	-0.261953552258724	-0.198735381025818
Ailuropoda_melanoleuca	-0.308936270691161	-0.415482811149061	-0.196379873423256	5.03502928220237	-0.264066637064282	-0.289375411689082	-0.239037240868408
Alces_alces_gigas	-0.373718346071746	-0.492508456961973	-0.262969364592445	5.55266578308307	-0.316824775321687	-0.345245402938346	-0.286755112356755
Alces_alces_shirasi	-0.359239478153018	-0.47250475739357	-0.246345689649814	5.55266578308307	-0.316824775321687	-0.345245402938346	-0.286755112356755
Alces_americanus	-0.385100468685194	-0.50672002935629	-0.274296693213267	5.55266578308307	-0.316824775321687	-0.345245402938346	-0.286755112356755
Ammotragus_lervia	-0.292884278892118	-0.40679266350136	-0.179842911415949	4.68124123737559	-0.227966381498424	-0.260920011508662	-0.195382685124943
Antidorcas_marsupialis	0.0158861733394483	-0.127497676656134	0.157171336174799	4.4983105537896	-0.209188158152935	-0.247600748748773	-0.169517528510989
Antilocapra_americana	-0.369237239452638	-0.484042734418828	-0.254879911537772	4.66353980145613	-0.22618858311232	-0.260017932616618	-0.193442544350156
Axis_porcinus	-0.296652431424285	-0.406604878040819	-0.182706778639018	4.533108293006	-0.212835566879094	-0.251328890961344	-0.17582512901878
Babyrousa_celebensis_dnaZoo	-0.0911765644669977	-0.21187097128187	0.0356295456700267	4.92596922528502	-0.252867447834645	-0.278306254434162	-0.225091110244385
Beatragus_hunteri	-0.301396791930012	-0.420771522480058	-0.185188299559334	4.90308998699194	-0.250588173842875	-0.275993264578184	-0.221778100589046
Bison_bison_dnaZoo	-0.326514855403872	-0.440228814599316	-0.215543018092031	5.76287001613525	-0.338334903359181	-0.373710477346887	-0.302579498236204
Bison_bonasus	-0.399500168287642	-0.505620273071988	-0.289309802348688	5.69897000433602	-0.331875105658688	-0.365589424731379	-0.298934678009147
Bos_gaurus	-0.364880464146062	-0.480588146507724	-0.241194808355512	5.91645394854993	-0.353968039835721	-0.39477669814741	-0.312906759015804
Bos_grunniens	-0.345389065540888	-0.458873597215494	-0.236783196998091	5.73739144997848	-0.335756622009533	-0.371540033608293	-0.302410284589953
Bos_indicus	-0.300192479079224	-0.417649461343277	-0.187562525622545	5.95424250943933	-0.357856247100272	-0.400835055779052	-0.315897738205919
Bos_javanicus	-0.348738645187576	-0.466676557677899	-0.234650117294824	5.84509804001426	-0.346691641454056	-0.384944820514943	-0.308152049702383
Bos_mutus	-0.277921741525885	-0.392375131079279	-0.166610029595905	5.73739144997848	-0.335756622009533	-0.371540033608293	-0.302410284589953
Bos_taurus	-0.419230122397027	-0.547105716402866	-0.294813606533024	5.95424250943933	-0.357856247100272	-0.400835055779052	-0.315897738205919
Bubalus_bubalis	-0.30142388930266	-0.419185831369198	-0.174533795793126	5.86033800657099	-0.34823310579736	-0.387859561409097	-0.310072053617177
Budorcas_taxicolor	-0.495431199326583	-0.611915692093078	-0.378654080122427	5.48000694295715	-0.309342159303001	-0.337275537747639	-0.282221704986109
Camelus_bactrianus	-0.403025777898963	-0.511617941749132	-0.286838881323849	5.90308998699194	-0.3526116331412	-0.393139461128181	-0.312231755964271
Camelus_dromedarius	-0.366155308215728	-0.483546926881773	-0.255708297140485	5.90308998699194	-0.3526116331412	-0.393139461128181	-0.312231755964271
Camelus_ferus	-0.395870909643731	-0.510056043531198	-0.278609108247093	5.83884909073726	-0.3460395516625	-0.384153342981481	-0.307842251221663
Capra_aegagrus	-0.233496659129805	-0.352954609275739	-0.124036124469806	4.52504480703685	-0.212007819765752	-0.250734348874653	-0.174718934474759
Capra_ibex	-0.240596607344066	-0.355838278284264	-0.130566936562219	4.93026879985888	-0.25329127692968	-0.278664435238596	-0.225640110447406
Capra_sibirica	-0.242617689193648	-0.360115883424261	-0.129508523724106	5.11394335230684	-0.272047379611838	-0.295467357841142	-0.246478680598803
Catagonus_wagneri	-0.189364665840751	-0.300732649040523	-0.0647322420754174	4.55103990850155	-0.214615910347545	-0.252638115518374	-0.178395530751608
Ceratotherium_simum_cottoni	-0.431357583794681	-0.551449585158013	-0.323142266684754	6.46981999908046	-0.410782909540098	-0.474682746823638	-0.347531828395051
Ceratotherium_simum_simum	-0.434186032823094	-0.546498086852915	-0.323384861838865	6.46981999908046	-0.410782909540098	-0.474682746823638	-0.347531828395051
Cervus_canadensis	-0.332275733871432	-0.439681096683377	-0.218215538863757	5.11809931207799	-0.272495658223619	-0.295331684258572	-0.246383678689821
Cervus_elaphus_hippelaphus	-0.161379680248244	-0.283355041270537	-0.0463292706244997	5.11809931207799	-0.272495658223619	-0.295331684258572	-0.246383678689821
Cervus_hanglu_yarkandensis	-0.309758840032405	-0.424317609222398	-0.18939285510471	5.11809931207799	-0.272495658223619	-0.295331684258572	-0.246383678689821
Cervus_nippon	-0.138280400809396	-0.256939198508253	-0.0250442489390487	4.72427586960079	-0.232396893758814	-0.262337260652496	-0.199345877706387
Connochaetes_taurinus	-0.154381960125792	-0.28548007019508	-0.0246301926813644	5.25527009234948	-0.286262946842223	-0.310492650249758	-0.261821087330482
Crocuta_crocuta_dnaZoo	-0.216783942601339	-0.32993697111635	-0.0997281570412894	4.79933986009671	-0.240052620111749	-0.269041158285058	-0.210026602086368
Dicerorhinus_sumatrensis_sumatrensis	-0.40648108092149	-0.517266473359628	-0.287255391820404	6.10266245618515	-0.373129842147129	-0.421777429411459	-0.325285932589837
Diceros_bicornis	-0.281266146338739	-0.39141198222449	-0.168411981290553	6.07207000140034	-0.369919275546543	-0.417489816381899	-0.323434859062481
Diceros_bicornis_minor	-0.425611827668145	-0.53347458040774	-0.312941916842234	6.07207000140034	-0.369919275546543	-0.417489816381899	-0.323434859062481
Elaphurus_davidianus	-0.550689033767305	-0.670642917467939	-0.435548169845227	5.17318626841227	-0.277965979972608	-0.302275658468756	-0.254019234337161
Elephas_maximus	-0.378688949457218	-0.500847091005859	-0.259767141169975	6.4996870826184	-0.413858241374719	-0.478782740442378	-0.34912044271844
Equus_asinus	-0.310991641760251	-0.430079318775924	-0.197142379766724	5.43933269383026	-0.305096719914293	-0.33214119101642	-0.278737631723491
Equus_asinus_somalicus	-0.392573052579697	-0.515033093548192	-0.281855099311982	5.43933269383026	-0.305096719914293	-0.33214119101642	-0.278737631723491
Equus_caballus	-0.253674311547822	-0.370282025778398	-0.135322660853397	5.30102999566398	-0.29100981985673	-0.316862842596591	-0.267470619482793
Equus_grevyi	-0.286266283559985	-0.40021873640467	-0.163357338229732	5.54406804435028	-0.315922612065343	-0.344110292729496	-0.286000302715456
Equus_hemionus	-0.250501571752801	-0.366627665161435	-0.124060224691354	5.30102999566398	-0.29100981985673	-0.316862842596591	-0.267470619482793
Equus_kiang	-0.310919306602584	-0.433116167538941	-0.178716753982954	5.39794000867204	-0.30084799020762	-0.32748290420688	-0.275531847085378
Equus_quagga_dnaZoo	-0.136892958776156	-0.252603019571428	-0.00932863910340271	5.24303804868629	-0.285042230107975	-0.309036354751953	-0.260506468696918
Equus_zebra_dnaZoo	-0.220502620668675	-0.34588131405344	-0.106792707903127	5.38021124171161	-0.299044929921543	-0.324688255957547	-0.273182746241262
Giraffa_camelopardalis_antiquorum	-0.221323892304524	-0.333726332590218	-0.103534155122024	5.95424000017507	-0.357856012840673	-0.400834694253089	-0.31589761324121
Giraffa_camelopardalis_rothschildi	-0.273960129999148	-0.383440167877221	-0.151431496084578	5.95424000017507	-0.357856012840673	-0.400834694253089	-0.31589761324121
