ne	time
12406.3569696336	<100 kya
19709.5823606392	<100 kya
12742.6585362394	<100 kya
8912.6510311313	<100 kya
6994.16312618965	<100 kya
5368.63082673215	<100 kya
5340.99557069212	<100 kya
12917.7832626716	<100 kya
355868.534944619	<100 kya
9397.25557245129	<100 kya
12080.0614865119	<100 kya
13762.9981566106	<100 kya
2903.02260111275	<100 kya
13909.5054070453	<100 kya
7454.05752506051	<100 kya
9260.4352250441	<100 kya
14913.5435007996	<100 kya
13154.436418294	<100 kya
14657.9165633295	<100 kya
22366.4607575588	<100 kya
10879.0888738878	<100 kya
12029.9548560694	<100 kya
6295.9528044378	<100 kya
12020.5461608283	<100 kya
11410.3871437859	<100 kya
12710.8902929478	<100 kya
26536.9249266225	<100 kya
23077.6640185264	<100 kya
22609.9818075242	<100 kya
21511.8657798311	<100 kya
2199.88492386528	<100 kya
2583.89275095615	<100 kya
10716.0916343697	<100 kya
60853.4069800454	<100 kya
12082.1386987392	<100 kya
29513.7026939768	<100 kya
35345.2855370363	<100 kya
15963.2429777297	<100 kya
2652.6208121974	<100 kya
5407.95096889869	<100 kya
2691.61085460127	<100 kya
5422.8242089825	<100 kya
2486.58796334932	<100 kya
12636.3613668783	<100 kya
7031.50799233698	<100 kya
9740.67474031254	<100 kya
11318.9070184348	<100 kya
14103.7429632482	<100 kya
11216.6231004691	<100 kya
18700.4338818067	<100 kya
14904.3389891442	<100 kya
28003.4449754858	<100 kya
18563.9387822783	<100 kya
10479.3648564734	<100 kya
2770.27560698234	<100 kya
2708.63813136234	<100 kya
4880.24805525092	<100 kya
10847.9172144121	<100 kya
20541.819783848	<100 kya
2729.48237658983	<100 kya
2373.88620146274	<100 kya
8289.71065002885	<100 kya
19204.1390849244	<100 kya
10156.162175404	<100 kya
23758.1842642095	<100 kya
26055.1686348958	<100 kya
10166.8547625056	<100 kya
25205.7434504619	<100 kya
27860.3993019592	<100 kya
10920.4121486244	<100 kya
34149.0572140814	<100 kya
4760.84834495859	<100 kya
5729.08432943159	<100 kya
10231.2548953002	<100 kya
13358.0309821842	<100 kya
6749.99219156945	<100 kya
50042.9481293966	<100 kya
21982.8272342948	<100 kya
26507.8766785759	<100 kya
7675.83702632254	<100 kya
59702.8234717151	<100 kya
91339.1928965514	<100 kya
21149.7814585044	<100 kya
6657.20264304314	<100 kya
20061.3019739215	<100 kya
19159.6799344021	<100 kya
26548.3320930498	<100 kya
2328.06293597824	<100 kya
26484.986922316	<100 kya
38877.5403147989	<100 kya
12259.2270847704	<100 kya
14351.7846590368	<100 kya
20785.1625382174	<100 kya
11105.7272076025	<100 kya
68761.4898380441	<100 kya
79792.0491804586	<100 kya
3203.99664014637	<100 kya
8364.26372031059	<100 kya
18279.0184795767	<100 kya
21044.2809814778	<100 kya
7773.27853223595	<100 kya
17206.5351413706	<100 kya
21632.8528147859	<100 kya
9594.79917356511	<100 kya
8552.4916006119	<100 kya
12937.9303810337	<100 kya
12825.5478850564	<100 kya
4953.55817972463	<100 kya
6331.57950580864	<100 kya
29088.0799022009	<100 kya
5181.34395815857	<100 kya
6602.81944302006	<100 kya
4623.9480556908	<100 kya
36788.611529567	<100 kya
9198.05174718407	<100 kya
30316.2999524428	<100 kya
27800.2723389053	<100 kya
40044.1120584139	<100 kya
27311.7131132765	<100 kya
2605.83392985382	<100 kya
14889.5401800365	<100 kya
45146.5220757103	<100 kya
6034.99161693953	<100 kya
32337.8392995586	<100 kya
11889.5112497155	<100 kya
60334.1513465813	<100 kya
53474.6966709254	<100 kya
8314.60160459053	<100 kya
30805.511160866	<100 kya
5651.91277900866	<100 kya
5747.33640097745	<100 kya
5460.09538190093	<100 kya
10498.9167052174	<100 kya
6257.49948281296	<100 kya
6616.18575735172	<100 kya
32085.362667004	<100 kya
22445.4501311332	<100 kya
15054.9724304606	<100 kya
24333.2995663029	<100 kya
22425.0050630284	>100 kya
25029.44271983	>100 kya
44217.2561083677	>100 kya
24985.408451855	>100 kya
19338.0749441815	>100 kya
18911.9031008987	>100 kya
19675.9817958112	>100 kya
64736.384199537	>100 kya
195402.489512643	>100 kya
50678.5033900038	>100 kya
66087.660258868	>100 kya
105431.682063137	>100 kya
12395.8405499805	>100 kya
32718.9673061537	>100 kya
68788.6107765572	>100 kya
84970.8158267908	>100 kya
38216.2094665391	>100 kya
111422.761089994	>100 kya
37504.8335343357	>100 kya
38375.9228407199	>100 kya
32141.6196145619	>100 kya
89693.3911318899	>100 kya
21987.3208645014	>100 kya
43587.5884294663	>100 kya
30996.0251367159	>100 kya
34845.2473984071	>100 kya
48168.4748488905	>100 kya
65241.7366848437	>100 kya
65114.1521175601	>100 kya
25316.537938337	>100 kya
27678.665028018	>100 kya
14616.7469574737	>100 kya
56325.645363319	>100 kya
33731.3835932707	>100 kya
54358.4378616193	>100 kya
51533.4595651288	>100 kya
68579.4222485222	>100 kya
36703.381632599	>100 kya
29495.5892420685	>100 kya
34779.5587626469	>100 kya
20928.6917623738	>100 kya
44535.0594470979	>100 kya
4962.48869664153	>100 kya
25013.2238678831	>100 kya
25041.064697186	>100 kya
27871.3924170106	>100 kya
20740.1089799273	>100 kya
74112.9610582377	>100 kya
36381.30798359	>100 kya
69133.496780039	>100 kya
15125.3105226362	>100 kya
24986.9774485549	>100 kya
38165.8080223768	>100 kya
25680.9895102	>100 kya
29058.0931388443	>100 kya
28570.0011506183	>100 kya
34831.9180989846	>100 kya
21581.8318290909	>100 kya
36366.1238780969	>100 kya
23814.8169378131	>100 kya
11460.7327823121	>100 kya
42600.139380634	>100 kya
50256.6372238754	>100 kya
18844.6958420606	>100 kya
11754.5554078246	>100 kya
62614.4676077993	>100 kya
62989.4989855227	>100 kya
58205.4135400178	>100 kya
67121.1417117734	>100 kya
71648.6587218575	>100 kya
42490.6087524674	>100 kya
11247.4939093544	>100 kya
38372.605196381	>100 kya
123524.521771465	>100 kya
72511.5538735919	>100 kya
84542.3276483585	>100 kya
77462.075683355	>100 kya
50198.0583928965	>100 kya
69072.4666959942	>100 kya
43128.6310042311	>100 kya
270869.147405926	>100 kya
236389.303848059	>100 kya
33152.3873492569	>100 kya
24387.3255725456	>100 kya
24958.744101783	>100 kya
29086.878217468	>100 kya
27953.045296274	>100 kya
15260.149646954	>100 kya
65370.8329616712	>100 kya
114374.821108941	>100 kya
114383.827353842	>100 kya
21324.7176202304	>100 kya
26520.4763076138	>100 kya
33256.5511926322	>100 kya
125664.012893708	>100 kya
121954.21501932	>100 kya
24612.6467131154	>100 kya
29462.4566012574	>100 kya
42073.7887040023	>100 kya
78956.298605839	>100 kya
11767.2776713115	>100 kya
31654.1869602744	>100 kya
21686.5590888778	>100 kya
19365.4150211036	>100 kya
32004.8664012472	>100 kya
27111.9995458256	>100 kya
31441.2625717306	>100 kya
9141.13793074727	>100 kya
15994.5677103486	>100 kya
62393.7778771294	>100 kya
73816.6286794008	>100 kya
21617.5057582471	>100 kya
83369.5449801436	>100 kya
137995.778398802	>100 kya
49209.9836374671	>100 kya
71760.2153606077	>100 kya
61477.550736764	>100 kya
49160.6046596025	>100 kya
47986.028768344	>100 kya
13744.9884418191	>100 kya
88850.3695799738	>100 kya
96987.3821532135	>100 kya
20867.2175757344	>100 kya
63494.8202437563	>100 kya
60734.9438610867	>100 kya
86060.2067298855	>100 kya
83061.3036578102	>100 kya
79406.337347852	>100 kya
42779.3064209239	>100 kya
21079.9007145385	>100 kya
29847.1569791385	>100 kya
39900.7182104171	>100 kya
40177.1912197441	>100 kya
10303.8313327335	>100 kya
17799.9909642845	>100 kya
78432.8717908869	>100 kya
134925.829722674	>100 kya
88703.858405524	>100 kya
124710.649415583	>100 kya
