midT	logNe	nType
12500	3.93860975515957	Observed
37500	4.13921270911749	Observed
62500	4.16022526887681	Observed
87500	4.18369504724325	Observed
12500	3.88894987065107	Observed
37500	4.62228429640481	Observed
62500	4.71921006111689	Observed
87500	4.51062726444397	Observed
12500	3.96020669555757	Observed
37500	3.99035502946258	Observed
62500	4.24812263516817	Observed
87500	4.34115743411853	Observed
12500	3.43362417262879	Observed
37500	4.3739589937805	Observed
62500	4.82927665234618	Observed
87500	4.63327873600577	Observed
12500	3.42541114458853	Observed
37500	3.95738428167463	Observed
62500	4.3697827334762	Observed
87500	4.36216847546202	Observed
12500	3.28154366787058	Observed
37500	3.91674402623259	Observed
62500	4.31417317218816	Observed
87500	4.27998256608118	Observed
12500	3.2965901566769	Observed
37500	3.81819290966967	Observed
62500	4.31997391395834	Observed
87500	4.35720753783093	Observed
12500	3.56069218360811	Observed
37500	4.88210548596171	Observed
62500	4.97319569531414	Observed
87500	4.96213723078813	Observed
12500	5.6385071916597	Observed
37500	5.6385071916597	Observed
62500	5.54908155073387	Observed
87500	5.41813621007082	Observed
12500	3.42885336912237	Observed
37500	4.58325831699459	Observed
62500	4.85669428299464	Observed
87500	4.88195574430025	Observed
12500	3.59037590437472	Observed
37500	4.42919343285804	Observed
62500	4.60467312495916	Observed
87500	4.9124196951453	Observed
12500	3.56877833025826	Observed
37500	4.87016215030388	Observed
62500	5.38297776376099	Observed
87500	5.50893656837077	Observed
12500	3.21302185845944	Observed
37500	3.60571903684707	Observed
62500	3.57975913809359	Observed
87500	3.59434736963767	Observed
12500	3.74911635049564	Observed
37500	4.47199276177589	Observed
62500	4.47773265337745	Observed
87500	4.37296957326383	Observed
12500	3.34850216760458	Observed
37500	4.20878977919427	Observed
62500	4.89413063317705	Observed
87500	4.86007165527509	Observed
12500	3.64472206718026	Observed
37500	3.93479987488917	Observed
62500	4.21806118214136	Observed
87500	4.54345511056869	Observed
12500	3.70900186470775	Observed
37500	4.4523461694537	Observed
62500	4.80567671168935	Observed
87500	4.66062446024489	Observed
12500	3.65825348113345	Observed
37500	4.25609614848715	Observed
62500	4.70447831242204	Observed
87500	5.03508309430795	Observed
12500	3.7169421338705	Observed
37500	4.31964914707577	Observed
62500	4.74305030753134	Observed
87500	4.82314800043937	Observed
12500	3.95747093410651	Observed
37500	4.44307763900084	Observed
62500	4.91864485812273	Observed
87500	4.68953267337073	Observed
12500	3.56267374579136	Observed
37500	4.5368130694552	Observed
62500	4.5574578252415	Observed
87500	4.42958889788654	Observed
12500	3.63308379983415	Observed
37500	4.14179659452225	Observed
62500	4.68950707576895	Observed
87500	5.14544973248231	Observed
12500	3.2940803156062	Observed
37500	4.23362855080726	Observed
62500	4.46385258315673	Observed
87500	4.46216315246693	Observed
12500	3.62852836730839	Observed
37500	4.33964412270348	Observed
62500	4.57477636095176	Observed
87500	4.59898304778493	Observed
12500	3.67658311584024	Observed
37500	4.39421098640639	Observed
62500	4.30071732866643	Observed
87500	4.30454501456692	Observed
12500	3.59096096114013	Observed
37500	4.72483921062909	Observed
62500	4.72304546289373	Observed
87500	4.68921318712188	Observed
12500	4.15888025702552	Observed
37500	4.54232912717966	Observed
62500	4.56738683159804	Observed
87500	4.5916274256391	Observed
12500	4.01960165791913	Observed
37500	4.37929137064276	Observed
62500	4.67059550342947	Observed
87500	4.83459133688893	Observed
12500	4.00836982234259	Observed
37500	4.35497609133614	Observed
62500	4.68449237693396	Observed
87500	4.85435768806513	Observed
12500	3.97941533374664	Observed
37500	4.4473299626222	Observed
62500	4.66391462602498	Observed
87500	4.62509558225384	Observed
12500	2.9287377264626	Observed
37500	3.43428083247786	Observed
62500	3.78543332890439	Observed
87500	3.96588029748647	Observed
12500	2.96589555458587	Observed
37500	3.55813505534811	Observed
62500	3.95510662702238	Observed
87500	4.10314641362858	Observed
12500	3.6406407079343	Observed
37500	3.9576752643504	Observed
62500	4.69807608849827	Observed
87500	4.84637305643743	Observed
12500	4.38468005543343	Observed
37500	4.95478375938684	Observed
62500	5.172217029629	Observed
87500	5.17600859317076	Observed
12500	3.64820918211612	Observed
37500	4.16446415131442	Observed
62500	4.67182243001134	Observed
87500	4.78240127422102	Observed
12500	3.9512164465264	Observed
37500	5.05656042881681	Observed
62500	5.18639328087457	Observed
87500	5.07815851474144	Observed
12500	4.72197202539868	Observed
37500	4.42241770697471	Observed
62500	4.4480334391997	Observed
87500	4.68296644501087	Observed
12500	3.74717948423682	Observed
37500	4.58716540247228	Observed
62500	4.67167578624838	Observed
87500	4.61226332754848	Observed
12500	3.02593345050471	Observed
37500	3.52502273022617	Observed
62500	3.78866891151519	Observed
87500	3.98002343610927	Observed
12500	3.49890692539567	Observed
37500	3.82150482553883	Observed
62500	3.81412206100675	Observed
87500	3.92673693732228	Observed
12500	3.0199585789035	Observed
37500	3.70978535759124	Observed
62500	3.71010095624729	Observed
87500	3.85079548100306	Observed
12500	3.18405512915657	Observed
37500	4.29686311536659	Observed
62500	4.6957179448888	Observed
87500	4.90526404889013	Observed
12500	3.35359914479225	Observed
37500	3.59178558222703	Observed
62500	3.37817620129556	Observed
87500	3.30889701310265	Observed
12500	3.63120155499169	Observed
37500	4.40915213279504	Observed
62500	4.68820997833601	Observed
87500	4.63284231821982	Observed
12500	3.36179999855902	Observed
37500	4.47797182714652	Observed
62500	4.38238102732205	Observed
87500	4.22599049099821	Observed
12500	3.42991328165916	Observed
37500	4.67939358531555	Observed
62500	5.15815473227858	Observed
87500	4.95195364515705	Observed
12500	3.57260259479634	Observed
37500	4.6321001293506	Observed
62500	4.58628429075905	Observed
87500	4.4366180799539	Observed
12500	3.63697111531742	Observed
37500	4.50117788269436	Observed
62500	5.02952621335433	Observed
87500	4.91927474654827	Observed
12500	3.95205824269025	Observed
37500	4.04041533416668	Observed
62500	4.10615695930355	Observed
87500	4.12197447855803	Observed
12500	3.7211497976627	Observed
37500	4.99129337500386	Observed
62500	5.21018881788305	Observed
87500	5.12547509764945	Observed
12500	3.77744090275281	Observed
37500	4.51696301350108	Observed
62500	4.41606610429336	Observed
87500	4.48595188368214	Observed
12500	4.11767022855328	Observed
37500	4.68063193162033	Observed
62500	4.76725318585966	Observed
87500	4.5433150537594	Observed
12500	3.81120818388977	Observed
37500	4.51866502440413	Observed
62500	4.74860676811247	Observed
87500	4.88982450293993	Observed
12500	3.7204038471477	Observed
37500	3.9605103031012	Observed
62500	4.31298093174876	Observed
87500	4.47923302831764	Observed
12500	3.0383071473021	Observed
37500	3.56567658041282	Observed
62500	3.81927624809128	Observed
87500	3.9793402279679	Observed
12500	3.050068915285	Observed
37500	3.54571248613683	Observed
62500	3.74471399618792	Observed
87500	3.91718849958412	Observed
12500	3.41747550348437	Observed
37500	3.52231779674419	Observed
62500	4.00151095131777	Observed
87500	4.4296414319764	Observed
12500	3.72303793508946	Observed
37500	4.24416919171064	Observed
62500	4.20892084833112	Observed
87500	4.21674391339632	Observed
12500	4.01717635418594	Observed
37500	4.38456777561224	Observed
62500	4.53621639831892	Observed
87500	4.54884213051063	Observed
12500	2.96607432788926	Observed
37500	3.86392837065048	Observed
62500	3.97858906574372	Observed
87500	3.84654673143815	Observed
12500	3.05029616178709	Observed
37500	3.41500886138981	Observed
62500	3.6300701017703	Observed
87500	3.75599915929472	Observed
12500	3.64864849133261	Observed
37500	3.79601452965277	Observed
62500	4.13003057610131	Observed
87500	4.6219702007692	Observed
12500	3.92435851490672	Observed
37500	4.45795605915752	Observed
62500	4.49802411630579	Observed
87500	4.64477276708799	Observed
12500	3.61530108869292	Observed
37500	4.24790832356688	Observed
62500	4.31938968786626	Observed
87500	4.32863475805684	Observed
12500	3.89540858633312	Observed
